Repeat,Plant,Time,Treatment,Stomata,Width,Length,Ratio
3,2,0,Time 0 (top),80,1.058,5.881,0.179901377
3,3,0,Time 0 (top),81,0.669,11.392,0.058725421
3,3,0,Time 0 (top),82,0.545,9.874,0.055195463
3,3,0,Time 0 (top),83,1.06,5.014,0.211408057
3,3,0,Time 0 (top),84,0.901,7.751,0.116243065
3,3,0,Time 0 (top),85,1.236,4.579,0.269927932
3,3,0,Time 0 (top),86,0.737,9.906,0.074399354
3,3,0,Time 0 (top),87,0.706,8.47,0.083353011
3,3,0,Time 0 (top),88,1.483,4.308,0.344243268
3,3,0,Time 0 (top),89,1.222,7.493,0.163085547
3,3,0,Time 0 (top),90,1.032,6.217,0.165996461
1,1,0,Time 0 (bottom),91,0.976,11.137,0.087635809
1,1,0,Time 0 (bottom),92,1.122,8.868,0.126522327
1,1,0,Time 0 (bottom),93,0.824,11.657,0.070687141
1,1,0,Time 0 (bottom),94,0.575,11.957,0.048088986
1,1,0,Time 0 (bottom),95,1.028,8.872,0.115870153
1,1,0,Time 0 (bottom),96,2.353,12.469,0.188707996
1,1,0,Time 0 (bottom),97,1.295,8.588,0.150791803
1,1,0,Time 0 (bottom),98,1.849,6.134,0.301434627
1,1,0,Time 0 (bottom),99,0.923,13.817,0.066801766
1,1,0,Time 0 (bottom),100,0.521,11.224,0.046418389
1,2,0,Time 0 (bottom),101,1.016,7.367,0.137912312
1,2,0,Time 0 (bottom),102,1.64,10.434,0.157178455
1,2,0,Time 0 (bottom),103,1.604,9.778,0.164041726
1,2,0,Time 0 (bottom),104,1.084,5.396,0.200889548
1,2,0,Time 0 (bottom),105,1.376,10.986,0.125250319
1,2,0,Time 0 (bottom),106,0.874,10.323,0.08466531
1,2,0,Time 0 (bottom),107,1.49,10.653,0.139866704
1,2,0,Time 0 (bottom),108,0.565,11.316,0.049929304
1,2,0,Time 0 (bottom),109,0.824,16.055,0.051323575
1,2,0,Time 0 (bottom),110,2.707,10.256,0.263943058
1,3,0,Time 0 (bottom),111,1.509,12.124,0.124463873
1,3,0,Time 0 (bottom),112,1.483,8.95,0.165698324
1,3,0,Time 0 (bottom),113,1.371,16.498,0.083100982
1,3,0,Time 0 (bottom),114,1.405,6.933,0.202653974
1,3,0,Time 0 (bottom),115,2.655,7.5,0.354
1,3,0,Time 0 (bottom),116,0.813,11.208,0.072537473
1,3,0,Time 0 (bottom),117,0.788,9.522,0.082755724
1,3,0,Time 0 (bottom),118,0.518,7.462,0.069418386
1,3,0,Time 0 (bottom),119,1.418,11.467,0.123659196
1,3,0,Time 0 (bottom),120,1.355,8.957,0.15127833
2,1,0,Time 0 (bottom),121,1.459,6.107,0.238906173
2,1,0,Time 0 (bottom),122,0.543,8.988,0.060413885
2,1,0,Time 0 (bottom),123,0.797,9.949,0.080108554
2,1,0,Time 0 (bottom),124,0.669,14.722,0.045442195
2,1,0,Time 0 (bottom),125,1.664,5.906,0.281747376
2,1,0,Time 0 (bottom),126,1.393,9.681,0.143890094
2,1,0,Time 0 (bottom),127,1.341,9.819,0.136571952
2,1,0,Time 0 (bottom),128,0.808,6.899,0.117118423
2,1,0,Time 0 (bottom),129,0.867,6.753,0.128387383
2,1,0,Time 0 (bottom),130,0.383,11.59,0.033045729
2,2,0,Time 0 (bottom),131,0.731,7.665,0.095368558
2,2,0,Time 0 (bottom),132,1.965,5.213,0.37694226
2,2,0,Time 0 (bottom),133,1.505,7.155,0.210342418
2,2,0,Time 0 (bottom),134,1.519,7.7,0.197272727
2,2,0,Time 0 (bottom),135,0.488,11.632,0.041953232
2,2,0,Time 0 (bottom),136,1.249,8.449,0.147828145
2,2,0,Time 0 (bottom),137,0.672,4.062,0.165435746
2,2,0,Time 0 (bottom),138,1.288,6.795,0.189551141
2,2,0,Time 0 (bottom),139,0.575,10.847,0.053010049
2,2,0,Time 0 (bottom),140,0.666,12.723,0.052346145
2,3,0,Time 0 (bottom),141,1.157,7.158,0.161637329
2,3,0,Time 0 (bottom),142,1.272,8.239,0.154387668
2,3,0,Time 0 (bottom),143,0.824,11.354,0.072573542
2,3,0,Time 0 (bottom),144,1.272,4.369,0.291142138
2,3,0,Time 0 (bottom),145,0.666,7.965,0.083615819
2,3,0,Time 0 (bottom),146,0.25,15.584,0.016042094
2,3,0,Time 0 (bottom),147,0.632,10.967,0.057627428
2,3,0,Time 0 (bottom),148,0.644,8.522,0.075569115
2,3,0,Time 0 (bottom),149,0.372,8.403,0.044269904
2,3,0,Time 0 (bottom),150,2.07,4.553,0.454645289
3,1,0,Time 0 (bottom),151,0.94,8.721,0.107785804
3,1,0,Time 0 (bottom),152,1.683,9.148,0.183974639
3,1,0,Time 0 (bottom),153,0.571,9.711,0.0587993
3,1,0,Time 0 (bottom),154,0.842,10.294,0.081795221
3,1,0,Time 0 (bottom),155,0.797,11.131,0.071601833
3,1,0,Time 0 (bottom),156,1.323,6.116,0.216317855
3,1,0,Time 0 (bottom),157,1.274,6.042,0.210857332
3,1,0,Time 0 (bottom),158,1.951,5.233,0.372826295
3,1,0,Time 0 (bottom),159,0.259,7.284,0.035557386
3,1,0,Time 0 (bottom),160,0.632,4.436,0.142470694
3,2,0,Time 0 (bottom),161,1.097,8.046,0.136341039
3,2,0,Time 0 (bottom),162,1.361,9.356,0.145468149
3,2,0,Time 0 (bottom),163,1.676,9.847,0.170204123
3,2,0,Time 0 (bottom),164,1.028,3.662,0.280720918
3,2,0,Time 0 (bottom),165,1.244,6.626,0.187745246
3,2,0,Time 0 (bottom),166,0.539,10.742,0.050176876
3,2,0,Time 0 (bottom),167,0.79,2.874,0.274878219
3,2,0,Time 0 (bottom),168,0.527,8.969,0.058757944
3,2,0,Time 0 (bottom),169,0.892,8.162,0.109286939
3,2,0,Time 0 (bottom),170,0.651,8.525,0.076363636
3,3,0,Time 0 (bottom),171,0.73,8.502,0.08586215
3,3,0,Time 0 (bottom),172,0.644,10.84,0.059409594
3,3,0,Time 0 (bottom),173,1.285,8.894,0.144479424
3,3,0,Time 0 (bottom),174,1.311,11.562,0.113388687
3,3,0,Time 0 (bottom),175,0.986,8.307,0.118695076
3,3,0,Time 0 (bottom),176,1.034,13.303,0.077726829
3,3,0,Time 0 (bottom),177,1.393,8.431,0.16522358
3,3,0,Time 0 (bottom),178,0.652,13.713,0.047546124
3,3,0,Time 0 (bottom),179,0.631,10.055,0.062754848
3,3,0,Time 0 (bottom),180,0.709,11.232,0.063123219
1,1,2,Dark,181,0.353,14.773,0.023894943
1,1,2,Dark,182,1.58,4.964,0.3182917
1,1,2,Dark,183,1.207,5.524,0.218501086
1,1,2,Dark,184,1.297,7.283,0.178085954
1,1,2,Dark,185,0.94,12.397,0.075824796
1,1,2,Dark,186,1.594,5.946,0.268079381
1,1,2,Dark,187,1.599,8.326,0.192049003
1,1,2,Dark,188,1.203,9.781,0.122993559
1,1,2,Dark,189,1.479,5.043,0.293277811
1,1,2,Dark,190,0.842,14.825,0.056795953
1,2,2,Dark,191,1.524,10.182,0.149675899
1,2,2,Dark,192,1.846,6.358,0.290342875
1,2,2,Dark,193,1.193,5.659,0.210814632
1,2,2,Dark,194,1.86,11.714,0.158784361
1,2,2,Dark,195,1.784,6.624,0.269323671
1,2,2,Dark,196,1.533,5.861,0.261559461
1,2,2,Dark,197,0.652,10.599,0.061515237
1,2,2,Dark,198,1.236,7.358,0.167980429
1,2,2,Dark,199,1.034,8.87,0.116572717
1,2,2,Dark,200,1.636,9.259,0.176692947
1,3,2,Dark,201,1.295,10.351,0.125108685
1,3,2,Dark,202,2.375,6.958,0.341333717
1,3,2,Dark,203,2.588,11.797,0.219377808
1,3,2,Dark,204,1.148,6.467,0.177516623
1,3,2,Dark,205,1.945,6.511,0.298725234
1,3,2,Dark,206,1.537,11.8,0.130254237
1,3,2,Dark,207,1.568,8.984,0.174532502
1,3,2,Dark,208,0.945,7.479,0.126353791
1,3,2,Dark,209,1.05,8.029,0.130775937
1,3,2,Dark,210,0.651,12.974,0.050177278
2,1,2,Dark,211,2.268,11.038,0.205472006
2,1,2,Dark,212,1.164,7.149,0.162819975
2,1,2,Dark,213,0.691,6.705,0.10305742
2,1,2,Dark,214,1.954,9.133,0.213949414
2,1,2,Dark,215,0.762,11.432,0.066655003
2,1,2,Dark,216,0.471,14.075,0.033463588
2,1,2,Dark,217,1.395,5.42,0.257380074
2,1,2,Dark,218,0.812,6.133,0.1323985
2,1,2,Dark,219,1.987,6.261,0.317361444
2,1,2,Dark,220,0.655,7.873,0.083195732
2,2,2,Dark,221,0.796,8.192,0.097167969
2,2,2,Dark,222,1.305,5.592,0.233369099
2,2,2,Dark,223,1.801,6.402,0.281318338
2,2,2,Dark,224,0.745,11.223,0.066381538
2,2,2,Dark,225,1.393,5.816,0.239511692
2,2,2,Dark,226,1.079,5.313,0.203086768
2,2,2,Dark,227,1.099,8.14,0.135012285
2,2,2,Dark,228,0.571,14.616,0.039066776
2,2,2,Dark,229,1.39,8.949,0.155324617
2,2,2,Dark,230,1.122,6.923,0.162068467
2,3,2,Dark,231,0.927,9.292,0.099763237
2,3,2,Dark,232,0.521,8.927,0.058362272
2,3,2,Dark,233,1.332,5.91,0.225380711
2,3,2,Dark,234,0.796,5.112,0.15571205
2,3,2,Dark,235,0.471,13.577,0.034691022
2,3,2,Dark,236,0.903,8.965,0.100725042
2,3,2,Dark,237,1.165,6.97,0.167144907
2,3,2,Dark,238,1.254,7.895,0.158834706
2,3,2,Dark,239,1.003,5.643,0.177742336
2,3,2,Dark,240,1.225,5.112,0.239632238
3,1,2,Dark,241,1.149,5.929,0.19379322
3,1,2,Dark,242,0.655,11.482,0.057045811
3,1,2,Dark,243,2.125,5.56,0.382194245
3,1,2,Dark,244,0.527,9.912,0.053167877
3,1,2,Dark,245,1.362,4.337,0.314041964
3,1,2,Dark,246,0.5,11.054,0.045232495
3,1,2,Dark,247,1.529,4.426,0.345458653
3,1,2,Dark,248,0.473,6.737,0.070209292
3,1,2,Dark,249,1.646,7.936,0.207409274
3,1,2,Dark,250,0.559,8.912,0.062724417
3,2,2,Dark,251,1.114,9.484,0.117460987
3,2,2,Dark,252,0.559,9.529,0.058663029
3,2,2,Dark,253,1.782,6.217,0.286633424
3,2,2,Dark,254,0.737,6.318,0.116650839
3,2,2,Dark,255,1.381,3.532,0.390996602
3,2,2,Dark,256,1.413,6.805,0.20764144
3,2,2,Dark,257,0.73,11.61,0.06287683
3,2,2,Dark,258,0.597,8.2,0.072804878
3,2,2,Dark,259,1.858,5.537,0.335560773
3,2,2,Dark,260,0.797,13.075,0.060956023
3,3,2,Dark,261,0.685,10.431,0.065669639
3,3,2,Dark,262,1.525,5.289,0.288334279
3,3,2,Dark,263,0.644,11.269,0.057147928
3,3,2,Dark,264,0.958,7.873,0.121681697
3,3,2,Dark,265,0.655,10.812,0.060580836
3,3,2,Dark,266,1.193,5.247,0.22736802
3,3,2,Dark,267,0.655,13.73,0.047705754
3,3,2,Dark,268,2.099,5.804,0.36164714
3,3,2,Dark,269,1.706,5.692,0.299718904
3,3,2,Dark,270,0.624,10.84,0.057564576
1,1,2,UVB,271,2.331,12.032,0.193733378
1,1,2,UVB,272,1.772,8.558,0.207057724
1,1,2,UVB,273,2.063,9.37,0.220170758
1,1,2,UVB,274,1.463,8.546,0.171191201
1,1,2,UVB,275,2.097,6.702,0.312891674
1,1,2,UVB,276,2.471,13.524,0.182712215
1,1,2,UVB,277,1.735,11.361,0.15271543
1,1,2,UVB,278,1.747,6.313,0.276730556
1,1,2,UVB,279,2.313,10.986,0.210540688
1,1,2,UVB,280,1.777,9.214,0.192858693
1,2,2,UVB,281,1.376,7.254,0.189688448
1,2,2,UVB,282,1.429,12.052,0.118569532
1,2,2,UVB,283,0.976,12.397,0.078728725
1,2,2,UVB,284,1.772,14.408,0.122987229
1,2,2,UVB,285,2.399,6.32,0.379588608
1,2,2,UVB,286,1.879,13.948,0.134714654
1,2,2,UVB,287,1.634,5.838,0.279890373
1,2,2,UVB,288,2.187,11.01,0.198637602
1,2,2,UVB,289,1.942,14.862,0.13066882
1,2,2,UVB,290,1.568,8.739,0.179425564
1,3,2,UVB,291,1.483,9.919,0.149511039
1,3,2,UVB,292,0.796,15.006,0.053045448
1,3,2,UVB,293,1.315,9.642,0.136382493
1,3,2,UVB,294,1.292,9.72,0.132921811
1,3,2,UVB,295,0.994,5.526,0.179876945
1,3,2,UVB,296,0.859,8.023,0.107067182
1,3,2,UVB,297,0.973,7.447,0.13065664
1,3,2,UVB,298,1.537,6.994,0.219759794
1,3,2,UVB,299,1.893,8.143,0.232469606
1,3,2,UVB,300,2.106,7.754,0.271601754
2,1,2,UVB,301,1.334,9.628,0.138554217
2,1,2,UVB,302,1.087,4.508,0.241126886
2,1,2,UVB,303,0.624,9.728,0.064144737
2,1,2,UVB,304,1.766,6.686,0.264134011
2,1,2,UVB,305,0.976,10.097,0.096662375
2,1,2,UVB,306,1.097,5.929,0.185022769
2,1,2,UVB,307,0.631,17.076,0.036952448
2,1,2,UVB,308,1.315,7.245,0.181504486
2,1,2,UVB,309,0.812,6.901,0.117664107
2,1,2,UVB,310,0.889,9.302,0.095570845
2,2,2,UVB,311,1.249,3.16,0.395253165
2,2,2,UVB,312,0.428,16.177,0.026457316
2,2,2,UVB,313,0.404,8.666,0.046618971
2,2,2,UVB,314,0.824,7.805,0.10557335
2,2,2,UVB,315,0.582,8.986,0.064767416
2,2,2,UVB,316,0.808,7.675,0.105276873
2,2,2,UVB,317,0.732,11.743,0.062335008
2,2,2,UVB,318,0.624,13.515,0.046170921
2,2,2,UVB,319,0.437,7.241,0.06035078
2,2,2,UVB,320,3.674,9.822,0.374058237
2,3,2,UVB,321,1.249,9.699,0.128776162
2,3,2,UVB,322,1.529,4.41,0.346712018
2,3,2,UVB,323,1.714,6.569,0.260922515
2,3,2,UVB,324,1.842,4.372,0.421317475
2,3,2,UVB,325,0.979,6.785,0.144288873
2,3,2,UVB,326,1.727,4.194,0.411778732
2,3,2,UVB,327,0.542,11.244,0.048203486
2,3,2,UVB,328,0.383,10.213,0.037501224
2,3,2,UVB,329,0.986,4.894,0.201471189
2,3,2,UVB,330,1.003,8.575,0.11696793
3,1,2,UVB,331,1.323,7.789,0.169854924
3,1,2,UVB,332,0.303,10.531,0.028772196
3,1,2,UVB,333,0.709,9.873,0.071812013
3,1,2,UVB,334,0.882,10.154,0.08686232
3,1,2,UVB,335,0.788,5.279,0.149270695
3,1,2,UVB,336,0.488,12.872,0.037911746
3,1,2,UVB,337,0.824,6.942,0.118697782
3,1,2,UVB,338,0.737,16.788,0.043900405
3,1,2,UVB,339,0.892,7.616,0.117121849
3,1,2,UVB,340,1.038,3.296,0.314927184
3,2,2,UVB,341,0.709,11.07,0.064046974
3,2,2,UVB,342,1.032,6.482,0.15921012
3,2,2,UVB,343,1.203,7.536,0.159633758
3,2,2,UVB,344,0.706,8.267,0.085399782
3,2,2,UVB,345,0.911,8.542,0.106649497
3,2,2,UVB,346,0.578,9.217,0.062710209
3,2,2,UVB,347,1.176,6.834,0.172080773
3,2,2,UVB,348,1.053,6.866,0.153364404
3,2,2,UVB,349,0.815,10.081,0.080845154
3,2,2,UVB,350,0.4,8.486,0.04713646
3,3,2,UVB,351,1.383,5.381,0.257015425
3,3,2,UVB,352,0.491,17.856,0.02749776
3,3,2,UVB,353,0.575,5.999,0.095849308
3,3,2,UVB,354,0.73,4.585,0.159214831
3,3,2,UVB,355,0.369,9.372,0.039372599
3,3,2,UVB,356,0.486,9.545,0.05091671
3,3,2,UVB,357,0.597,8.495,0.070276633
3,3,2,UVB,358,1.195,6.052,0.197455387
3,3,2,UVB,359,1.157,7.17,0.161366806
3,3,2,UVB,360,0.473,11.846,0.03992909
1,1,4,Dark,361,3.599,12.629,0.284979017
1,1,4,Dark,362,0.521,11.543,0.04513558
1,1,4,Dark,363,0.412,8.415,0.04896019
1,1,4,Dark,364,0.518,8.944,0.057915921
1,1,4,Dark,365,1.311,5.696,0.230161517
1,1,4,Dark,366,0.829,6.423,0.129067414
1,1,4,Dark,367,1.701,7.698,0.220966485
1,1,4,Dark,368,1.053,10.961,0.096067877
1,1,4,Dark,369,1.157,10.785,0.107278628
1,1,4,Dark,370,0.788,10.968,0.071845368
1,2,4,Dark,371,1.337,9.436,0.141691395
1,2,4,Dark,372,1.037,8.965,0.115672058
1,2,4,Dark,373,1.84,5.867,0.313618544
1,2,4,Dark,374,0.652,10.598,0.061521042
1,2,4,Dark,375,1.479,9.083,0.162831664
1,2,4,Dark,376,1.361,10.569,0.128772826
1,2,4,Dark,377,0.606,12.467,0.048608326
1,2,4,Dark,378,1.655,7.701,0.214907155
1,2,4,Dark,379,0.894,11.003,0.081250568
1,2,4,Dark,380,2.435,8.201,0.29691501
1,3,4,Dark,381,0.618,13.616,0.045387779
1,3,4,Dark,382,1.44,5.939,0.242465061
1,3,4,Dark,383,1.61,8.541,0.188502517
1,3,4,Dark,384,1.212,4.913,0.246692449
1,3,4,Dark,385,0.832,8.998,0.092464992
1,3,4,Dark,386,1.236,5.682,0.217529039
1,3,4,Dark,387,1.114,5.455,0.204216315
1,3,4,Dark,388,0.651,15.485,0.042040685
1,3,4,Dark,389,1.016,9.719,0.104537504
1,3,4,Dark,390,0.624,10.502,0.059417254
2,1,4,Dark,391,0.923,3.668,0.251635769
2,1,4,Dark,392,0.788,4.907,0.160586917
2,1,4,Dark,393,0.771,12.989,0.059357918
2,1,4,Dark,394,0.788,12.81,0.061514442
2,1,4,Dark,395,1.261,4.842,0.260429575
2,1,4,Dark,396,1.034,4.718,0.219160661
2,1,4,Dark,397,0.428,13.811,0.030989791
2,1,4,Dark,398,0.732,3.932,0.186164802
2,1,4,Dark,399,1.149,5.546,0.207176343
2,1,4,Dark,400,0.363,12.014,0.030214749
2,2,4,Dark,401,1.074,5.502,0.195201745
2,2,4,Dark,402,0.383,11.612,0.032983121
2,2,4,Dark,403,0.428,13.21,0.032399697
2,2,4,Dark,404,1.636,6.305,0.259476606
2,2,4,Dark,405,0.514,13.966,0.036803666
2,2,4,Dark,406,0.739,11.947,0.061856533
2,2,4,Dark,407,0.797,14.184,0.056190073
2,2,4,Dark,408,1.177,5.873,0.20040865
2,2,4,Dark,409,0.737,13.389,0.055045186
2,2,4,Dark,410,1.046,7.759,0.134811187
2,3,4,Dark,411,2.827,13.54,0.208788774
2,3,4,Dark,412,1.23,5.28,0.232954545
2,3,4,Dark,413,0.874,6.525,0.13394636
2,3,4,Dark,414,0.867,4.515,0.192026578
2,3,4,Dark,415,0.518,9.216,0.056206597
2,3,4,Dark,416,0.406,9.62,0.042203742
2,3,4,Dark,417,1.399,5.69,0.245869947
2,3,4,Dark,418,0.606,9.486,0.063883618
2,3,4,Dark,419,1.879,4.737,0.396664556
2,3,4,Dark,420,1.14,5.065,0.225074038
3,1,4,Dark,421,2.021,6.615,0.305517763
3,1,4,Dark,422,1.157,7.392,0.156520563
3,1,4,Dark,423,0.709,6.604,0.107359176
3,1,4,Dark,424,0.766,6.553,0.116893026
3,1,4,Dark,425,1.534,5.749,0.266829014
3,1,4,Dark,426,0.644,5.798,0.111072784
3,1,4,Dark,427,0.471,10.592,0.044467523
3,1,4,Dark,428,1.529,6.624,0.230827295
3,1,4,Dark,429,1.741,11.092,0.156959971
3,1,4,Dark,430,1.332,7.719,0.172561213
3,2,4,Dark,431,0.546,9.491,0.057528185
3,2,4,Dark,432,0.452,9.885,0.045725847
3,2,4,Dark,433,1.798,11.722,0.153386794
3,2,4,Dark,434,0.424,9.808,0.043230016
3,2,4,Dark,435,0.73,8.976,0.081327986
3,2,4,Dark,436,0.398,9.744,0.040845649
3,2,4,Dark,437,1.203,11.623,0.103501678
3,2,4,Dark,438,0.309,11.929,0.025903261
3,2,4,Dark,439,0.597,13.768,0.043361418
3,2,4,Dark,440,1.45,5.964,0.243125419
3,3,4,Dark,441,1.33,7.452,0.178475577
3,3,4,Dark,442,0.691,11.287,0.061220874
3,3,4,Dark,443,0.559,19.812,0.028215223
3,3,4,Dark,444,0.824,7.891,0.10442276
3,3,4,Dark,445,1.138,6.325,0.179920949
3,3,4,Dark,446,0.461,10.155,0.045396356
3,3,4,Dark,447,0.685,6.13,0.111745514
3,3,4,Dark,448,0.518,8.934,0.057980748
3,3,4,Dark,449,0.525,8.194,0.064071272
3,3,4,Dark,450,0.549,11.82,0.046446701
1,1,4,UVB,451,0.832,9.366,0.088831945
1,1,4,UVB,452,1.099,12.068,0.091067285
1,1,4,UVB,453,0.624,8.503,0.073385864
1,1,4,UVB,454,0.582,13.476,0.04318789
1,1,4,UVB,455,1.587,4.5,0.352666667
1,1,4,UVB,456,1.078,8.745,0.12327044
1,1,4,UVB,457,0.79,10.253,0.077050619
1,1,4,UVB,458,0.691,8.026,0.086095191
1,1,4,UVB,459,1.176,8.47,0.138842975
1,1,4,UVB,460,1.272,8.36,0.15215311
1,2,4,UVB,461,0.6,7.899,0.075958982
1,2,4,UVB,462,1.225,7.082,0.172973736
1,2,4,UVB,463,0.917,10.422,0.087986951
1,2,4,UVB,464,1.554,9.076,0.171220802
1,2,4,UVB,465,1.053,9.635,0.10928905
1,2,4,UVB,466,1.886,5.611,0.336125468
1,2,4,UVB,467,0.559,14.665,0.038117968
1,2,4,UVB,468,1.714,6.938,0.247045258
1,2,4,UVB,469,1.19,3.58,0.332402235
1,2,4,UVB,470,0.861,5.849,0.14720465
1,3,4,UVB,471,0.651,13.354,0.048749438
1,3,4,UVB,472,0.745,6.276,0.118706182
1,3,4,UVB,473,0.766,10.346,0.074038276
1,3,4,UVB,474,1.302,9.679,0.134518029
1,3,4,UVB,475,1.157,7.667,0.150906482
1,3,4,UVB,476,0.737,11.611,0.063474292
1,3,4,UVB,477,0.815,4.523,0.180190139
1,3,4,UVB,478,1.074,6.643,0.161673942
1,3,4,UVB,479,0.766,3.162,0.242251739
1,3,4,UVB,480,0.485,11.775,0.04118896
2,1,4,UVB,481,1.19,5.452,0.218268525
2,1,4,UVB,482,0.363,8.757,0.041452552
2,1,4,UVB,483,1.341,5.809,0.230848683
2,1,4,UVB,484,0.894,10.032,0.089114833
2,1,4,UVB,485,1.193,5.338,0.223491945
2,1,4,UVB,486,0.79,6.169,0.128059653
2,1,4,UVB,487,0.257,10.696,0.024027674
2,1,4,UVB,488,1.292,4.365,0.295990836
2,1,4,UVB,489,0.79,7.029,0.112391521
2,1,4,UVB,490,0.303,10.696,0.028328347
2,2,4,UVB,491,0.788,6.92,0.113872832
2,2,4,UVB,492,0.597,12.723,0.046922896
2,2,4,UVB,493,1.586,7.899,0.200784909
2,2,4,UVB,494,0.473,18.592,0.02544105
2,2,4,UVB,495,1.092,8.146,0.134053523
2,2,4,UVB,496,1.252,4.847,0.258304106
2,2,4,UVB,497,1.285,7.074,0.181651117
2,2,4,UVB,498,0.192,14.669,0.013088827
2,2,4,UVB,499,0.404,12.506,0.032304494
2,2,4,UVB,500,0.986,2.856,0.345238095
2,3,4,UVB,501,1.373,5.664,0.242408192
