"Repeat","Genotype","Treatment","Plant","Stomata","Width","Length","Ratio"
1,"nced3/5","UVB",3,"471",3.162,6.688,0.472787081339713
1,"nced3/5","UVB",3,"472",3.044,10.19,0.298724239450442
1,"nced3/5","UVB",3,"473",3.438,12.532,0.274337695499521
1,"nced3/5","UVB",3,"474",4.21,9.597,0.438678753777222
1,"nced3/5","UVB",3,"475",3.68,10.449,0.352186812135133
1,"nced3/5","UVB",3,"476",4.665,11.13,0.419137466307278
1,"nced3/5","UVB",3,"477",4.472,9.517,0.46989597562257
1,"nced3/5","UVB",3,"478",3.863,11.771,0.328179424008156
1,"nced3/5","UVB",3,"479",3.348,6.66,0.502702702702703
1,"nced3/5","UVB",3,"480",2.919,6.354,0.459395656279509
2,"Col-0","PreDawn",1,"31",2.098,9.446,0.22210459453737
2,"Col-0","PreDawn",1,"32",2.266,5.73,0.395462478184991
2,"Col-0","PreDawn",1,"33",1.674,7.024,0.238325740318907
2,"Col-0","PreDawn",1,"34",2.34,6.132,0.38160469667319
2,"Col-0","PreDawn",1,"35",1.878,4.936,0.380470016207455
2,"Col-0","PreDawn",1,"36",1.891,6.574,0.287648311530271
2,"Col-0","PreDawn",1,"37",1.6,9.183,0.174234999455516
2,"Col-0","PreDawn",1,"38",1.656,7.247,0.228508348282048
2,"Col-0","PreDawn",1,"39",1.604,9.656,0.166114333057167
2,"Col-0","PreDawn",1,"40",1.554,4.378,0.354956601187757
2,"Col-0","PreDawn",2,"41",1.636,7.529,0.217293133218223
2,"Col-0","PreDawn",2,"42",1.476,6.719,0.219675546956392
2,"Col-0","PreDawn",2,"43",2.113,8.487,0.248969011429245
2,"Col-0","PreDawn",2,"44",1.506,8.561,0.175914028734961
2,"Col-0","PreDawn",2,"45",1.805,9.266,0.194798186919922
2,"Col-0","PreDawn",2,"46",2.155,12.193,0.176740752891003
2,"Col-0","PreDawn",2,"47",1.775,9.203,0.192871889601217
2,"Col-0","PreDawn",2,"48",2.324,7.44,0.312365591397849
2,"Col-0","PreDawn",2,"49",2.074,13.025,0.159232245681382
2,"Col-0","PreDawn",2,"50",1.777,4.347,0.408787669657235
2,"Col-0","PreDawn",3,"51",1.343,9.312,0.144222508591065
2,"Col-0","PreDawn",3,"52",1.157,10.392,0.111335642802156
2,"Col-0","PreDawn",3,"53",1.079,8.198,0.131617467675043
2,"Col-0","PreDawn",3,"54",2.013,10.519,0.191368000760529
2,"Col-0","PreDawn",3,"55",1.627,5.863,0.277502984820058
2,"Col-0","PreDawn",3,"56",1.59,6.244,0.254644458680333
2,"Col-0","PreDawn",3,"57",1.464,4.283,0.341816483773056
2,"Col-0","PreDawn",3,"58",1.738,4.48,0.387946428571429
2,"Col-0","PreDawn",3,"59",1.215,3.573,0.340050377833753
2,"Col-0","PreDawn",3,"60",2.363,6.768,0.349143026004728
2,"Col-0","WL",1,"121",2.716,7.885,0.344451490171211
2,"Col-0","WL",1,"122",2.139,4.956,0.431598062953995
2,"Col-0","WL",1,"123",2.409,7.214,0.3339340171888
2,"Col-0","WL",1,"124",1.463,7.248,0.201848785871965
2,"Col-0","WL",1,"125",1.402,5.918,0.23690435958094
2,"Col-0","WL",1,"126",1.799,7.939,0.226602846706134
2,"Col-0","WL",1,"127",2.042,5.457,0.374198277441818
2,"Col-0","WL",1,"128",2.195,5.759,0.381142559472131
2,"Col-0","WL",1,"129",1.595,8.018,0.19892741332003
2,"Col-0","WL",1,"130",1.487,6.805,0.218515797207935
2,"Col-0","WL",2,"131",2.111,5.885,0.358708581138488
2,"Col-0","WL",2,"132",2.934,9.492,0.309102402022756
2,"Col-0","WL",2,"133",2.68,8.376,0.319961795606495
2,"Col-0","WL",2,"134",2.24,5.797,0.386406762118337
2,"Col-0","WL",2,"135",2.728,7.99,0.341426783479349
2,"Col-0","WL",2,"136",3.364,8.088,0.415924826904055
2,"Col-0","WL",2,"137",2.436,5.975,0.407698744769874
2,"Col-0","WL",2,"138",2.692,6.116,0.440156965336822
2,"Col-0","WL",2,"139",3.282,8.331,0.393950306085704
2,"Col-0","WL",2,"140",2.696,9.443,0.285502488615906
2,"Col-0","WL",3,"141",1.672,8.864,0.188628158844765
2,"Col-0","WL",3,"142",2.713,8.329,0.325729379277224
2,"Col-0","WL",3,"143",2.23,9.729,0.229211635317093
2,"Col-0","WL",3,"144",2.005,7.77,0.258043758043758
2,"Col-0","WL",3,"145",2.587,6.482,0.399105214439988
2,"Col-0","WL",3,"146",2.488,7.957,0.312680658539651
2,"Col-0","WL",3,"147",2.55,7.444,0.342557764642665
2,"Col-0","WL",3,"148",2.365,8.54,0.276932084309134
2,"Col-0","WL",3,"149",2.315,8.53,0.271395076201641
2,"Col-0","WL",3,"150",2.619,5.851,0.447615792172278
2,"Col-0","UVB",1,"211",3.476,8.292,0.419199228171732
2,"Col-0","UVB",1,"212",5.593,12.668,0.441506157246606
2,"Col-0","UVB",1,"213",4.391,8.526,0.515012901712409
2,"Col-0","UVB",1,"214",4.449,6.637,0.670332981768871
2,"Col-0","UVB",1,"215",2.833,6.347,0.446352607531117
2,"Col-0","UVB",1,"216",2.81,7.436,0.377891339429801
2,"Col-0","UVB",1,"217",4.076,11.166,0.365036718610066
2,"Col-0","UVB",1,"218",2.78,6.486,0.428615479494295
2,"Col-0","UVB",1,"219",3.314,9.442,0.350984960813387
2,"Col-0","UVB",1,"220",3.081,9.84,0.313109756097561
2,"Col-0","UVB",2,"221",3.816,9.953,0.383401989349945
2,"Col-0","UVB",2,"222",4.43,12.169,0.364039773194182
2,"Col-0","UVB",2,"223",3.17,9.157,0.346183247788577
2,"Col-0","UVB",2,"224",3.805,8.925,0.426330532212885
2,"Col-0","UVB",2,"225",4.304,8.58,0.501631701631702
2,"Col-0","UVB",2,"226",3.498,8.935,0.391494124230554
2,"Col-0","UVB",2,"227",3.873,8.7,0.445172413793104
2,"Col-0","UVB",2,"228",3.875,7.871,0.492313556091983
2,"Col-0","UVB",2,"229",4.814,10.291,0.467787387037217
2,"Col-0","UVB",2,"230",3.415,8.785,0.388730791121229
2,"Col-0","UVB",3,"231",3.822,7.683,0.49746192893401
2,"Col-0","UVB",3,"232",4.352,10.349,0.420523722098754
2,"Col-0","UVB",3,"233",2.584,6.871,0.376073351768302
2,"Col-0","UVB",3,"234",4.315,12.24,0.352532679738562
2,"Col-0","UVB",3,"235",3.005,7.145,0.420573827851645
2,"Col-0","UVB",3,"236",3.666,5.777,0.634585424961052
2,"Col-0","UVB",3,"237",3.514,9.523,0.369001365116035
2,"Col-0","UVB",3,"238",3.766,6.637,0.567425041434383
2,"Col-0","UVB",3,"239",5.625,14.217,0.395653091369487
2,"Col-0","UVB",3,"240",3.766,8.611,0.437347578678435
2,"nced3/5","PreDawn",1,"301",6.911,13.962,0.494986391634436
2,"nced3/5","PreDawn",1,"302",5.72,10.101,0.566280566280566
2,"nced3/5","PreDawn",1,"303",4.705,11.512,0.408703961084086
2,"nced3/5","PreDawn",1,"304",7.908,13.435,0.588611834759955
2,"nced3/5","PreDawn",1,"305",5.517,9.942,0.554918527459264
2,"nced3/5","PreDawn",1,"306",2.849,6.501,0.43824027072758
2,"nced3/5","PreDawn",1,"307",4.482,9.752,0.459598031173093
2,"nced3/5","PreDawn",1,"308",4.47,9.101,0.491154818151851
2,"nced3/5","PreDawn",1,"309",3.961,7.458,0.531107535532314
2,"nced3/5","PreDawn",1,"310",3.901,10.569,0.369098306367679
2,"nced3/5","PreDawn",2,"311",2.216,8.269,0.267988874108115
2,"nced3/5","PreDawn",2,"312",4.633,10.205,0.453993140617344
2,"nced3/5","PreDawn",2,"313",2.255,6.404,0.35212367270456
2,"nced3/5","PreDawn",2,"314",3.471,8.275,0.419456193353474
2,"nced3/5","PreDawn",2,"315",1.677,4.879,0.343717974994876
2,"nced3/5","PreDawn",2,"316",3.614,8.989,0.40204694626766
2,"nced3/5","PreDawn",2,"317",4.728,11.609,0.407270221379964
2,"nced3/5","PreDawn",2,"318",3.195,8.512,0.375352443609023
2,"nced3/5","PreDawn",2,"319",4.035,8.407,0.479957178541691
2,"nced3/5","PreDawn",2,"320",2.775,8.812,0.314911484339537
2,"nced3/5","PreDawn",3,"321",3.535,11.46,0.308464223385689
2,"nced3/5","PreDawn",3,"322",3.3,9.86,0.334685598377282
2,"nced3/5","PreDawn",3,"323",3.46,5.96,0.580536912751678
2,"nced3/5","PreDawn",3,"324",2.673,5.13,0.521052631578947
2,"nced3/5","PreDawn",3,"325",4.525,10.357,0.436902577966593
2,"nced3/5","PreDawn",3,"326",4.001,10.948,0.365454877603215
2,"nced3/5","PreDawn",3,"327",3.162,7.199,0.439227670509793
2,"nced3/5","PreDawn",3,"328",2.779,4.813,0.577394556409724
2,"nced3/5","PreDawn",3,"329",4.513,11.156,0.404535675869487
2,"nced3/5","PreDawn",3,"330",2.034,6.853,0.296804319276229
2,"nced3/5","WL",1,"391",3.98,9.395,0.423629590207557
2,"nced3/5","WL",1,"392",3.699,9.469,0.390643151335938
2,"nced3/5","WL",1,"393",4.304,7.986,0.538943150513398
2,"nced3/5","WL",1,"394",2.244,8.523,0.263287574797607
2,"nced3/5","WL",1,"395",3.821,12.639,0.302318221378274
2,"nced3/5","WL",1,"396",4.251,7.773,0.546893091470475
2,"nced3/5","WL",1,"397",3.561,7.124,0.499859629421673
2,"nced3/5","WL",1,"398",4.185,9.386,0.445876837843597
2,"nced3/5","WL",1,"399",3.109,6.545,0.47501909854851
2,"nced3/5","WL",1,"400",3.624,7.902,0.458618071374336
2,"nced3/5","WL",2,"401",3.941,10.456,0.376912777352716
2,"nced3/5","WL",2,"402",3.534,9.621,0.367321484253196
2,"nced3/5","WL",2,"403",3.041,7.966,0.381747426562892
2,"nced3/5","WL",2,"404",3.234,12.439,0.259988745075971
2,"nced3/5","WL",2,"405",3.916,10.328,0.379163439194423
2,"nced3/5","WL",2,"406",2.536,4.63,0.547732181425486
2,"nced3/5","WL",2,"407",3.087,7.492,0.412039508809397
2,"nced3/5","WL",2,"408",3.012,10.869,0.277118410157328
2,"nced3/5","WL",2,"409",4.73,6.899,0.685606609653573
2,"nced3/5","WL",2,"410",2.861,5.054,0.566086268302335
2,"nced3/5","WL",3,"411",3.483,12.137,0.286973716733954
2,"nced3/5","WL",3,"412",1.914,5.143,0.372156328990861
2,"nced3/5","WL",3,"413",2.312,5.246,0.440716736561189
2,"nced3/5","WL",3,"414",2.616,6.629,0.394629657565244
2,"nced3/5","WL",3,"415",2.363,5.136,0.460085669781931
2,"nced3/5","WL",3,"416",4.714,8.973,0.525353839295665
2,"nced3/5","WL",3,"417",4.596,9.845,0.466835957338751
2,"nced3/5","WL",3,"418",2.27,9.999,0.227022702270227
2,"nced3/5","WL",3,"419",2.759,4.324,0.638066604995375
2,"nced3/5","WL",3,"420",3.268,8.004,0.408295852073963
2,"nced3/5","UVB",1,"481",5.367,8.439,0.63597582651973
2,"nced3/5","UVB",1,"482",4.95,8.952,0.552949061662198
2,"nced3/5","UVB",1,"483",4.819,10.528,0.457731762917933
2,"nced3/5","UVB",1,"484",4.504,6.323,0.712320101217776
2,"nced3/5","UVB",1,"485",4.458,9.641,0.462400165957888
2,"nced3/5","UVB",1,"486",4.814,9.161,0.525488483789979
2,"nced3/5","UVB",1,"487",4.584,9.339,0.490844844201735
2,"nced3/5","UVB",1,"488",4.246,11.035,0.384775713638423
2,"nced3/5","UVB",1,"489",4.275,9.616,0.444571547420965
2,"nced3/5","UVB",1,"490",5.923,9.996,0.592537014805922
2,"nced3/5","UVB",2,"491",4.045,8.14,0.496928746928747
2,"nced3/5","UVB",2,"492",4.984,10.744,0.463886820551005
2,"nced3/5","UVB",2,"493",3.759,6.831,0.550285463328942
2,"nced3/5","UVB",2,"494",3.091,9.08,0.340418502202643
2,"nced3/5","UVB",2,"495",3.201,5.084,0.629622344610543
2,"nced3/5","UVB",2,"496",4.641,9.055,0.512534511319713
2,"nced3/5","UVB",2,"497",4.039,9.012,0.448180204172215
2,"nced3/5","UVB",2,"498",4.711,7.565,0.622736285525446
2,"nced3/5","UVB",2,"499",4.393,6.348,0.692028985507246
2,"nced3/5","UVB",2,"500",4.482,7.208,0.62180910099889
2,"nced3/5","UVB",3,"501",2.937,10.536,0.27875854214123
2,"nced3/5","UVB",3,"502",5.525,9.595,0.575820739968734
2,"nced3/5","UVB",3,"503",4.813,11.45,0.420349344978166
2,"nced3/5","UVB",3,"504",2.199,8.64,0.254513888888889
2,"nced3/5","UVB",3,"505",3.733,8.995,0.415008337965536
2,"nced3/5","UVB",3,"506",4.165,9.605,0.433628318584071
2,"nced3/5","UVB",3,"507",5.284,11.469,0.460720202284419
2,"nced3/5","UVB",3,"508",4.715,7.966,0.591890534772784
2,"nced3/5","UVB",3,"509",3.959,7.488,0.528712606837607
2,"nced3/5","UVB",3,"510",2.984,10.448,0.285604900459418
3,"Col-0","PreDawn",1,"61",1.399,6.916,0.202284557547715
3,"Col-0","PreDawn",1,"62",2.391,6.378,0.374882408278457
3,"Col-0","PreDawn",1,"63",1.17,8.38,0.139618138424821
3,"Col-0","PreDawn",1,"64",3.242,9.354,0.34658969424845
3,"Col-0","PreDawn",1,"65",2.096,9.397,0.2230499095456
3,"Col-0","PreDawn",1,"66",1.875,6.635,0.282592313489073
3,"Col-0","PreDawn",1,"67",1.58,6.588,0.239829993928355
3,"Col-0","PreDawn",1,"68",1.471,8.641,0.170234926513135
3,"Col-0","PreDawn",1,"69",1.278,7.242,0.176470588235294
3,"Col-0","PreDawn",1,"70",2.077,8.589,0.241820933752474
3,"Col-0","PreDawn",2,"71",1.704,8.709,0.195659662418188
3,"Col-0","PreDawn",2,"72",1.809,8.837,0.204707479913998
3,"Col-0","PreDawn",2,"73",1.254,5.978,0.209769153563065
3,"Col-0","PreDawn",2,"74",2.151,4.572,0.470472440944882
3,"Col-0","PreDawn",2,"75",1.175,8.44,0.139218009478673
3,"Col-0","PreDawn",2,"76",0.952,8.863,0.107412839896198
3,"Col-0","PreDawn",2,"77",1.787,6.79,0.263181148748159
3,"Col-0","PreDawn",2,"78",1.766,10.728,0.164615958240119
3,"Col-0","PreDawn",2,"79",2.069,9.19,0.225136017410229
3,"Col-0","PreDawn",2,"80",0.799,7.383,0.10822159013951
3,"Col-0","PreDawn",3,"81",1.339,9.482,0.141214933558321
3,"Col-0","PreDawn",3,"82",2.464,5.066,0.486379786814054
3,"Col-0","PreDawn",3,"83",1.89,6.702,0.282005371530886
3,"Col-0","PreDawn",3,"84",4.199,12.664,0.331569804169299
3,"Col-0","PreDawn",3,"85",1.887,5.117,0.368770764119601
3,"Col-0","PreDawn",3,"86",1.951,8.415,0.23184789067142
3,"Col-0","PreDawn",3,"87",2.252,5.311,0.424025607230277
3,"Col-0","PreDawn",3,"88",2.376,6.183,0.384279475982533
3,"Col-0","PreDawn",3,"89",1.893,7.573,0.249966987983626
3,"Col-0","PreDawn",3,"90",1.125,9.118,0.123382320684361
3,"Col-0","WL",1,"151",1.765,5.181,0.340667824744258
3,"Col-0","WL",1,"152",1.723,6.599,0.261100166691923
3,"Col-0","WL",1,"153",3.05,12.066,0.252776396485994
3,"Col-0","WL",1,"154",1.503,9.253,0.162433805252351
3,"Col-0","WL",1,"155",2.614,10.794,0.242171576801927
3,"Col-0","WL",1,"156",2.232,7.01,0.318402282453638
3,"Col-0","WL",1,"157",2.324,5.581,0.416412829242071
3,"Col-0","WL",1,"158",2.509,11.362,0.220823798627002
3,"Col-0","WL",1,"159",2.281,7.213,0.316234576459171
3,"Col-0","WL",1,"160",2.215,10.66,0.207786116322702
3,"Col-0","WL",2,"161",2.151,10.534,0.204195936966015
3,"Col-0","WL",2,"162",2.925,12.047,0.242799037104673
3,"Col-0","WL",2,"163",1.851,9.647,0.191873121177568
3,"Col-0","WL",2,"164",1.895,5.907,0.32080582359912
3,"Col-0","WL",2,"165",2.11,8.85,0.238418079096045
3,"Col-0","WL",2,"166",2.762,8.776,0.314721969006381
3,"Col-0","WL",2,"167",2.251,11.213,0.200749130473557
3,"Col-0","WL",2,"168",1.827,6.1,0.299508196721311
3,"Col-0","WL",2,"169",1.901,9.568,0.198683110367893
3,"Col-0","WL",2,"170",2.903,8.534,0.340168736817436
3,"Col-0","WL",3,"171",2.598,7.872,0.330030487804878
