Repeat,Plant,Genotype,Treatment,Stomata,Width,Length,Ratio
1,1,Col-0,UVB,190,1.199,5.022,0.238749502
1,2,Col-0,UVB,191,2.672,11.71,0.228181042
1,2,Col-0,UVB,192,1.932,7.048,0.274120318
1,2,Col-0,UVB,193,2.175,5.869,0.370591242
1,2,Col-0,UVB,194,2.698,10.194,0.26466549
1,2,Col-0,UVB,195,1.892,4.443,0.425838397
1,2,Col-0,UVB,196,1.873,7.598,0.24651224
1,2,Col-0,UVB,197,1.418,4.986,0.28439631
1,2,Col-0,UVB,198,1.641,3.987,0.41158766
1,2,Col-0,UVB,199,2.213,5.836,0.379198081
1,2,Col-0,UVB,200,1.872,6.748,0.277415531
1,3,Col-0,UVB,201,1.946,5.472,0.355628655
1,3,Col-0,UVB,202,1.984,6.992,0.28375286
1,3,Col-0,UVB,203,1.403,6.266,0.223906799
1,3,Col-0,UVB,204,3.633,9.919,0.366266761
1,3,Col-0,UVB,205,2.298,7.892,0.291180943
1,3,Col-0,UVB,206,2.994,9.917,0.301905818
1,3,Col-0,UVB,207,2.831,5.826,0.485925163
1,3,Col-0,UVB,208,1.69,4.317,0.391475562
1,3,Col-0,UVB,209,2.039,6.936,0.293973472
1,3,Col-0,UVB,210,2.241,8.091,0.276974416
2,1,Col-0,UVB,211,3.476,8.292,0.419199228
2,1,Col-0,UVB,212,5.593,12.668,0.441506157
2,1,Col-0,UVB,213,4.391,8.526,0.515012902
2,1,Col-0,UVB,214,4.449,6.637,0.670332982
2,1,Col-0,UVB,215,2.833,6.347,0.446352608
2,1,Col-0,UVB,216,2.81,7.436,0.377891339
2,1,Col-0,UVB,217,4.076,11.166,0.365036719
2,1,Col-0,UVB,218,2.78,6.486,0.428615479
2,1,Col-0,UVB,219,3.314,9.442,0.350984961
2,1,Col-0,UVB,220,3.081,9.84,0.313109756
2,2,Col-0,UVB,221,3.816,9.953,0.383401989
2,2,Col-0,UVB,222,4.43,12.169,0.364039773
2,2,Col-0,UVB,223,3.17,9.157,0.346183248
2,2,Col-0,UVB,224,3.805,8.925,0.426330532
2,2,Col-0,UVB,225,4.304,8.58,0.501631702
2,2,Col-0,UVB,226,3.498,8.935,0.391494124
2,2,Col-0,UVB,227,3.873,8.7,0.445172414
2,2,Col-0,UVB,228,3.875,7.871,0.492313556
2,2,Col-0,UVB,229,4.814,10.291,0.467787387
2,2,Col-0,UVB,230,3.415,8.785,0.388730791
2,3,Col-0,UVB,231,3.822,7.683,0.497461929
2,3,Col-0,UVB,232,4.352,10.349,0.420523722
2,3,Col-0,UVB,233,2.584,6.871,0.376073352
2,3,Col-0,UVB,234,4.315,12.24,0.35253268
2,3,Col-0,UVB,235,3.005,7.145,0.420573828
2,3,Col-0,UVB,236,3.666,5.777,0.634585425
2,3,Col-0,UVB,237,3.514,9.523,0.369001365
2,3,Col-0,UVB,238,3.766,6.637,0.567425041
2,3,Col-0,UVB,239,5.625,14.217,0.395653091
2,3,Col-0,UVB,240,3.766,8.611,0.437347579
3,1,Col-0,UVB,241,3.328,9.495,0.350500263
3,1,Col-0,UVB,242,4.079,9.712,0.419995881
3,1,Col-0,UVB,243,3.147,9.205,0.341879413
3,1,Col-0,UVB,244,3.467,7.912,0.438195147
3,1,Col-0,UVB,245,2.495,5.437,0.458892772
3,1,Col-0,UVB,246,2.93,9.74,0.300821355
3,1,Col-0,UVB,247,3.074,8.42,0.365083135
3,1,Col-0,UVB,248,2.666,6.145,0.433848657
3,1,Col-0,UVB,249,2.633,7.872,0.334476626
3,1,Col-0,UVB,250,3.257,10.694,0.304563307
3,2,Col-0,UVB,251,1.496,5.035,0.297120159
3,2,Col-0,UVB,252,2.971,9.059,0.327961144
3,2,Col-0,UVB,253,3.031,7.055,0.42962438
3,2,Col-0,UVB,254,2.885,9.491,0.303972184
3,2,Col-0,UVB,255,2.7,10.042,0.268870743
3,2,Col-0,UVB,256,2.804,8.967,0.31270213
3,2,Col-0,UVB,257,1.632,6.827,0.239050828
3,2,Col-0,UVB,258,2.71,5.99,0.452420701
3,2,Col-0,UVB,259,2.616,7.312,0.357768053
3,2,Col-0,UVB,260,2.293,6.195,0.370137207
3,3,Col-0,UVB,261,3.09,8.876,0.348129788
3,3,Col-0,UVB,262,2.809,7.27,0.386382393
3,3,Col-0,UVB,263,2.924,11.77,0.248428207
3,3,Col-0,UVB,264,3.005,8.32,0.361177885
3,3,Col-0,UVB,265,2.661,6.397,0.415976239
3,3,Col-0,UVB,266,4.112,8.302,0.495302337
3,3,Col-0,UVB,267,3.777,16.167,0.233624049
3,3,Col-0,UVB,268,3.22,8.092,0.397923875
3,3,Col-0,UVB,269,3.248,9.502,0.341822774
3,3,Col-0,UVB,270,3.253,12.136,0.268045485
1,1,phot1/2,PreDawn,271,1.98,6.139,0.322528099
1,1,phot1/2,PreDawn,272,1.946,5.255,0.370313987
1,1,phot1/2,PreDawn,273,2.519,7.227,0.348554033
1,1,phot1/2,PreDawn,274,2.009,4.621,0.434754382
1,1,phot1/2,PreDawn,275,1.715,5.86,0.292662116
1,1,phot1/2,PreDawn,276,2.197,4.516,0.486492471
1,1,phot1/2,PreDawn,277,2.447,9.745,0.25110313
1,1,phot1/2,PreDawn,278,1.301,8.545,0.152252779
1,1,phot1/2,PreDawn,279,2.736,7.115,0.384539705
1,1,phot1/2,PreDawn,280,1.905,5.557,0.342810869
1,2,phot1/2,PreDawn,281,3.567,10.789,0.330614515
1,2,phot1/2,PreDawn,282,2.562,7.838,0.326869099
1,2,phot1/2,PreDawn,283,1.946,8.834,0.220285261
1,2,phot1/2,PreDawn,284,1.767,6.453,0.273826127
1,2,phot1/2,PreDawn,285,2.235,10.061,0.222144916
1,2,phot1/2,PreDawn,286,1.359,4.109,0.330737406
1,2,phot1/2,PreDawn,287,2.458,10.358,0.237304499
1,2,phot1/2,PreDawn,288,1.962,8.548,0.229527375
1,2,phot1/2,PreDawn,289,1.423,6.967,0.204248601
1,2,phot1/2,PreDawn,290,2.889,9.515,0.303625854
1,3,phot1/2,PreDawn,291,2.288,11.808,0.193766938
1,3,phot1/2,PreDawn,292,1.289,8.76,0.147146119
1,3,phot1/2,PreDawn,293,2.006,8.253,0.243063129
1,3,phot1/2,PreDawn,294,1.864,5.883,0.316845147
1,3,phot1/2,PreDawn,295,2.404,6.574,0.365682994
1,3,phot1/2,PreDawn,296,0.972,3.221,0.301769637
1,3,phot1/2,PreDawn,297,2.218,6.402,0.346454233
1,3,phot1/2,PreDawn,298,1.86,9.503,0.195727665
1,3,phot1/2,PreDawn,299,1.153,4.926,0.234064149
1,3,phot1/2,PreDawn,300,3.236,7.992,0.404904905
2,1,phot1/2,PreDawn,301,1.116,3.28,0.340243902
2,1,phot1/2,PreDawn,302,3.326,6.517,0.510357526
2,1,phot1/2,PreDawn,303,2.233,7.592,0.294125395
2,1,phot1/2,PreDawn,304,4.245,10.336,0.410700464
2,1,phot1/2,PreDawn,305,3.095,8.889,0.348183148
2,1,phot1/2,PreDawn,306,3.294,9.703,0.339482634
2,1,phot1/2,PreDawn,307,3.599,7.422,0.484909728
2,1,phot1/2,PreDawn,308,2.406,4.847,0.496389519
2,1,phot1/2,PreDawn,309,2.5,9.089,0.275057762
2,1,phot1/2,PreDawn,310,2.32,6.534,0.35506581
2,2,phot1/2,PreDawn,311,2.538,9.079,0.279546206
2,2,phot1/2,PreDawn,312,1.759,4.967,0.354137306
2,2,phot1/2,PreDawn,313,2.563,11.178,0.229289676
2,2,phot1/2,PreDawn,314,2.413,6.929,0.3482465
2,2,phot1/2,PreDawn,315,1.582,8.849,0.178777263
2,2,phot1/2,PreDawn,316,2.488,9.469,0.262752139
2,2,phot1/2,PreDawn,317,2.363,6.234,0.379050369
2,2,phot1/2,PreDawn,318,1.838,6.165,0.298134631
2,2,phot1/2,PreDawn,319,1.343,8.78,0.152961276
2,2,phot1/2,PreDawn,320,1.785,6.625,0.269433962
2,3,phot1/2,PreDawn,321,2.754,7.865,0.350158932
2,3,phot1/2,PreDawn,322,1.582,7.041,0.224683994
2,3,phot1/2,PreDawn,323,3.802,6.984,0.544387171
2,3,phot1/2,PreDawn,324,1.527,5.869,0.26018061
2,3,phot1/2,PreDawn,325,1.64,4.769,0.343887607
2,3,phot1/2,PreDawn,326,1.668,4.611,0.361743656
2,3,phot1/2,PreDawn,327,1.745,4.362,0.400045851
2,3,phot1/2,PreDawn,328,2.455,7.656,0.320663532
2,3,phot1/2,PreDawn,329,1.866,8.743,0.213427885
2,3,phot1/2,PreDawn,330,1.596,6.679,0.238957928
3,1,phot1/2,PreDawn,331,1.878,12.51,0.150119904
3,1,phot1/2,PreDawn,332,2.038,7.271,0.280291569
3,1,phot1/2,PreDawn,333,2.301,9.008,0.255439609
3,1,phot1/2,PreDawn,334,1.527,7.027,0.217304682
3,1,phot1/2,PreDawn,335,1.983,6.903,0.287266406
3,1,phot1/2,PreDawn,336,2.641,9.238,0.285884391
3,1,phot1/2,PreDawn,337,2.113,6.609,0.319715539
3,1,phot1/2,PreDawn,338,2.563,5.969,0.429385157
3,1,phot1/2,PreDawn,339,2.678,6.708,0.399224806
3,1,phot1/2,PreDawn,340,2.116,8.493,0.249146356
3,2,phot1/2,PreDawn,341,2.53,8.679,0.291508238
3,2,phot1/2,PreDawn,342,2.345,13.734,0.170744139
3,2,phot1/2,PreDawn,343,3.15,7.317,0.430504305
3,2,phot1/2,PreDawn,344,3.095,12.645,0.244760775
3,2,phot1/2,PreDawn,345,2.069,6.042,0.342436279
3,2,phot1/2,PreDawn,346,1.813,8.926,0.203114497
3,2,phot1/2,PreDawn,347,2.506,8.508,0.294546309
3,2,phot1/2,PreDawn,348,1.83,10.455,0.175035868
3,2,phot1/2,PreDawn,349,1.184,5.266,0.224838587
3,2,phot1/2,PreDawn,350,1.227,3.709,0.330816932
3,3,phot1/2,PreDawn,351,1.874,5.948,0.315063887
3,3,phot1/2,PreDawn,352,2.248,6.752,0.332938389
3,3,phot1/2,PreDawn,353,0.673,11.964,0.05625209
3,3,phot1/2,PreDawn,354,2.561,7.562,0.338667019
3,3,phot1/2,PreDawn,355,2.208,10.901,0.202550225
3,3,phot1/2,PreDawn,356,1.525,8.688,0.175529466
3,3,phot1/2,PreDawn,357,3.355,9.447,0.355139198
3,3,phot1/2,PreDawn,358,1.647,8.424,0.195512821
3,3,phot1/2,PreDawn,359,1.59,7.477,0.212652133
3,3,phot1/2,PreDawn,360,1.94,6.401,0.303077644
1,1,phot1/2,WL,361,1.23,6.879,0.178805059
1,1,phot1/2,WL,362,2.119,4.794,0.442010847
1,1,phot1/2,WL,363,1.29,6.391,0.201846346
1,1,phot1/2,WL,364,3.394,9.82,0.345621181
1,1,phot1/2,WL,365,1.567,5.787,0.270779333
1,1,phot1/2,WL,366,1.875,4.503,0.416389074
1,1,phot1/2,WL,367,1.924,3.927,0.489941431
1,1,phot1/2,WL,368,1.787,3.55,0.503380282
1,1,phot1/2,WL,369,2.587,5.671,0.456180568
1,1,phot1/2,WL,370,1.835,4.928,0.372362013
1,2,phot1/2,WL,371,1.986,4.213,0.471398054
1,2,phot1/2,WL,372,2.969,6.46,0.459597523
1,2,phot1/2,WL,373,1.353,6.818,0.198445292
1,2,phot1/2,WL,374,1.539,7.897,0.194884133
1,2,phot1/2,WL,375,1.788,4.255,0.420211516
1,2,phot1/2,WL,376,2.667,5.725,0.465851528
1,2,phot1/2,WL,377,1.775,8.525,0.208211144
1,2,phot1/2,WL,378,1.787,6.28,0.28455414
1,2,phot1/2,WL,379,2.429,7.639,0.317973557
1,2,phot1/2,WL,380,3.639,7.434,0.489507667
1,3,phot1/2,WL,381,2.313,5.398,0.428492034
1,3,phot1/2,WL,382,1.739,8.625,0.201623188
1,3,phot1/2,WL,383,1.607,7.594,0.211614432
1,3,phot1/2,WL,384,2.107,5.404,0.389896373
1,3,phot1/2,WL,385,2.2,4.705,0.467587673
1,3,phot1/2,WL,386,1.397,6.643,0.210296553
1,3,phot1/2,WL,387,1.152,4.692,0.245524297
1,3,phot1/2,WL,388,1.944,5.543,0.35071261
1,3,phot1/2,WL,389,1.685,4.045,0.416563659
1,3,phot1/2,WL,390,1.23,5.155,0.238603298
2,1,phot1/2,WL,391,2.553,6.081,0.419832264
2,1,phot1/2,WL,392,2.76,6.143,0.449291877
2,1,phot1/2,WL,393,2.707,6.428,0.421126322
2,1,phot1/2,WL,394,1.783,7.397,0.241043666
2,1,phot1/2,WL,395,2.957,6.537,0.452348172
2,1,phot1/2,WL,396,1.611,9.375,0.17184
2,1,phot1/2,WL,397,2.942,6.375,0.461490196
2,1,phot1/2,WL,398,2.439,6.713,0.363324892
2,1,phot1/2,WL,399,2.09,7.031,0.297255014
2,1,phot1/2,WL,400,1.899,4.887,0.388581952
2,2,phot1/2,WL,401,2.561,10.329,0.247942686
2,2,phot1/2,WL,402,2.997,9.959,0.300933829
2,2,phot1/2,WL,403,3.119,5.854,0.532798087
2,2,phot1/2,WL,404,2.633,8.073,0.326148891
2,2,phot1/2,WL,405,2.276,7.657,0.297244352
2,2,phot1/2,WL,406,3.175,8.749,0.362898617
2,2,phot1/2,WL,407,3.79,7.973,0.475354321
2,2,phot1/2,WL,408,2.216,5.448,0.406754772
2,2,phot1/2,WL,409,3.522,6.967,0.505526051
2,2,phot1/2,WL,410,2.048,9.914,0.206576558
2,3,phot1/2,WL,411,2.045,8.969,0.228007582
2,3,phot1/2,WL,412,1.746,7.545,0.231411531
2,3,phot1/2,WL,413,2.39,6.122,0.390395296
2,3,phot1/2,WL,414,2.769,11.144,0.248474515
2,3,phot1/2,WL,415,1.708,10.484,0.162914918
2,3,phot1/2,WL,416,2.317,7.146,0.324237336
2,3,phot1/2,WL,417,2.594,11.335,0.228848699
2,3,phot1/2,WL,418,1.925,5.303,0.363002074
2,3,phot1/2,WL,419,3.43,10.369,0.330793712
2,3,phot1/2,WL,420,1.913,4.634,0.4128183
3,1,phot1/2,WL,421,2.638,10.145,0.260029571
3,1,phot1/2,WL,422,3.016,6.951,0.433894404
3,1,phot1/2,WL,423,2.775,9.286,0.298836959
3,1,phot1/2,WL,424,2.337,9.597,0.243513598
3,1,phot1/2,WL,425,2.945,9.829,0.299623563
3,1,phot1/2,WL,426,2.567,5.837,0.439780709
3,1,phot1/2,WL,427,2.134,10.012,0.213144227
3,1,phot1/2,WL,428,1.775,9.656,0.183823529
3,1,phot1/2,WL,429,3.399,7.57,0.449009247
3,1,phot1/2,WL,430,2.842,5.784,0.491355463
3,2,phot1/2,WL,431,2.196,11.051,0.198715048
3,2,phot1/2,WL,432,3.085,9.917,0.31108198
3,2,phot1/2,WL,433,1.927,9.193,0.209616012
3,2,phot1/2,WL,434,2.095,6.524,0.321122011
3,2,phot1/2,WL,435,1.354,6.491,0.208596518
3,2,phot1/2,WL,436,3.357,8.887,0.37774277
3,2,phot1/2,WL,437,3.277,11.295,0.290128375
3,2,phot1/2,WL,438,2.189,9.105,0.240417353
3,2,phot1/2,WL,439,2.072,7.681,0.269756542
3,2,phot1/2,WL,440,3.216,9.247,0.347788472
3,3,phot1/2,WL,441,2.836,10.551,0.268789688
3,3,phot1/2,WL,442,2.098,8.597,0.244038618
3,3,phot1/2,WL,443,2.95,13.209,0.223332576
3,3,phot1/2,WL,444,3.544,6.475,0.547335907
3,3,phot1/2,WL,445,2.839,10.18,0.278880157
3,3,phot1/2,WL,446,3.008,12.939,0.232475462
3,3,phot1/2,WL,447,3.635,6.107,0.595218602
3,3,phot1/2,WL,448,3.355,9.911,0.338512764
3,3,phot1/2,WL,449,3.294,10.212,0.322561692
3,3,phot1/2,WL,450,2.511,9.436,0.266108521
1,1,phot1/2,UVB,451,1.864,7.897,0.236039002
1,1,phot1/2,UVB,452,2.11,5.337,0.395353195
1,1,phot1/2,UVB,453,2.522,6.873,0.366943111
1,1,phot1/2,UVB,454,1.884,8.257,0.228170038
1,1,phot1/2,UVB,455,2.273,7.548,0.301139375
1,1,phot1/2,UVB,456,1.735,8.116,0.213775259
1,1,phot1/2,UVB,457,3.336,6.262,0.532737145
1,1,phot1/2,UVB,458,1.986,7.373,0.269361183
1,1,phot1/2,UVB,459,1.806,7.07,0.255445545
1,1,phot1/2,UVB,460,2.612,11.456,0.228002793
1,2,phot1/2,UVB,461,2.954,9.333,0.316511304
1,2,phot1/2,UVB,462,2.63,8.636,0.304539138
1,2,phot1/2,UVB,463,2.11,7.193,0.293340748
1,2,phot1/2,UVB,464,1.534,5.001,0.306738652
1,2,phot1/2,UVB,465,2.238,8.983,0.249137259
1,2,phot1/2,UVB,466,2.455,9.655,0.254272398
1,2,phot1/2,UVB,467,1.685,4.959,0.339786247
