"Repeat","Plant","Treatment","Genotype","Stomata","Width","Length","Ratio"
2,1,"PreDawn","tt4","302",0.641,7.413,0.0864697153648995
2,1,"PreDawn","tt4","303",1.501,6.403,0.234421364985163
2,1,"PreDawn","tt4","304",1.842,4.503,0.409060626249167
2,1,"PreDawn","tt4","305",0.641,8.058,0.079548275006205
2,1,"PreDawn","tt4","306",1.647,5.437,0.302924406842008
2,1,"PreDawn","tt4","307",1.858,7.131,0.260552517178516
2,1,"PreDawn","tt4","308",1.373,5.122,0.268059351815697
2,1,"PreDawn","tt4","309",3.523,7.177,0.490873624076912
2,1,"PreDawn","tt4","310",2.365,5.437,0.434982527128931
2,1,"WL","Col-0","121",2.716,7.885,0.344451490171211
2,1,"WL","Col-0","122",2.139,4.956,0.431598062953995
2,1,"WL","Col-0","123",2.409,7.214,0.3339340171888
2,1,"WL","Col-0","124",1.463,7.248,0.201848785871965
2,1,"WL","Col-0","125",1.402,5.918,0.23690435958094
2,1,"WL","Col-0","126",1.799,7.939,0.226602846706134
2,1,"WL","Col-0","127",2.042,5.457,0.374198277441818
2,1,"WL","Col-0","128",2.195,5.759,0.381142559472131
2,1,"WL","Col-0","129",1.595,8.018,0.19892741332003
2,1,"WL","Col-0","130",1.487,6.805,0.218515797207935
2,1,"WL","tt4","391",2.158,4.348,0.496320147194112
2,1,"WL","tt4","392",2.287,9.288,0.246231696813092
2,1,"WL","tt4","393",0.991,4.482,0.221106648817492
2,1,"WL","tt4","394",1.987,10.613,0.187223216809573
2,1,"WL","tt4","395",1.966,7.79,0.252374839537869
2,1,"WL","tt4","396",1.911,7.59,0.251778656126482
2,1,"WL","tt4","397",1.662,7.817,0.212613534604068
2,1,"WL","tt4","398",1.624,6.586,0.246583662313999
2,1,"WL","tt4","399",1.601,5.794,0.276320331377287
2,1,"WL","tt4","400",2.041,6.251,0.326507758758599
2,1,"UVB","Col-0","211",3.476,8.292,0.419199228171732
2,1,"UVB","Col-0","212",5.593,12.668,0.441506157246606
2,1,"UVB","Col-0","213",4.391,8.526,0.515012901712409
2,1,"UVB","Col-0","214",4.449,6.637,0.670332981768871
2,1,"UVB","Col-0","215",2.833,6.347,0.446352607531117
2,1,"UVB","Col-0","216",2.81,7.436,0.377891339429801
2,1,"UVB","Col-0","217",4.076,11.166,0.365036718610066
2,1,"UVB","Col-0","218",2.78,6.486,0.428615479494295
2,1,"UVB","Col-0","219",3.314,9.442,0.350984960813387
2,1,"UVB","Col-0","220",3.081,9.84,0.313109756097561
2,1,"UVB","tt4","481",3.271,9.743,0.33572821512881
2,1,"UVB","tt4","482",2.125,9.664,0.219888245033113
2,1,"UVB","tt4","483",2.714,8.429,0.321983627951121
2,1,"UVB","tt4","484",2.413,8.33,0.289675870348139
2,1,"UVB","tt4","485",1.38,8.192,0.16845703125
2,1,"UVB","tt4","486",2.579,7.485,0.344555778223113
2,1,"UVB","tt4","487",0.473,14.696,0.032185628742515
2,1,"UVB","tt4","488",1.284,5.691,0.225619399051133
2,1,"UVB","tt4","489",2.543,7.595,0.334825543120474
2,1,"UVB","tt4","490",0.577,13.587,0.0424670641053949
2,2,"PreDawn","Col-0","41",1.636,7.529,0.217293133218223
2,2,"PreDawn","Col-0","42",1.476,6.719,0.219675546956392
2,2,"PreDawn","Col-0","43",2.113,8.487,0.248969011429245
2,2,"PreDawn","Col-0","44",1.506,8.561,0.175914028734961
2,2,"PreDawn","Col-0","45",1.805,9.266,0.194798186919922
2,2,"PreDawn","Col-0","46",2.155,12.193,0.176740752891003
2,2,"PreDawn","Col-0","47",1.775,9.203,0.192871889601217
2,2,"PreDawn","Col-0","48",2.324,7.44,0.312365591397849
2,2,"PreDawn","Col-0","49",2.074,13.025,0.159232245681382
2,2,"PreDawn","Col-0","50",1.777,4.347,0.408787669657235
2,2,"PreDawn","tt4","311",1.148,5.697,0.201509566438476
2,2,"PreDawn","tt4","312",1.34,3.992,0.335671342685371
2,2,"PreDawn","tt4","313",1.801,9.238,0.194955618099156
2,2,"PreDawn","tt4","314",1.587,5.356,0.296303211351755
2,2,"PreDawn","tt4","315",1.35,4.704,0.286989795918367
2,2,"PreDawn","tt4","316",0.946,13.041,0.0725404493520436
2,2,"PreDawn","tt4","317",1.298,10.121,0.128248196818496
2,2,"PreDawn","tt4","318",3.041,10.642,0.28575455741402
2,2,"PreDawn","tt4","319",2.737,5.234,0.522927015666794
2,2,"PreDawn","tt4","320",1.217,4.337,0.280608715702098
2,2,"WL","Col-0","131",2.111,5.885,0.358708581138488
2,2,"WL","Col-0","132",2.934,9.492,0.309102402022756
2,2,"WL","Col-0","133",2.68,8.376,0.319961795606495
2,2,"WL","Col-0","134",2.24,5.797,0.386406762118337
2,2,"WL","Col-0","135",2.728,7.99,0.341426783479349
2,2,"WL","Col-0","136",3.364,8.088,0.415924826904055
2,2,"WL","Col-0","137",2.436,5.975,0.407698744769874
2,2,"WL","Col-0","138",2.692,6.116,0.440156965336822
2,2,"WL","Col-0","139",3.282,8.331,0.393950306085704
2,2,"WL","Col-0","140",2.696,9.443,0.285502488615906
2,2,"WL","tt4","401",2.604,10.041,0.259336719450254
2,2,"WL","tt4","402",1.879,4.853,0.387183185658356
2,2,"WL","tt4","403",2.291,7.275,0.314914089347079
2,2,"WL","tt4","404",2.695,8.748,0.308070416095107
2,2,"WL","tt4","405",1.971,5.788,0.340532135452661
2,2,"WL","tt4","406",1.891,5.065,0.373346495557749
2,2,"WL","tt4","407",2.616,9.551,0.273898021149618
2,2,"WL","tt4","408",2.294,9.444,0.2429055484964
2,2,"WL","tt4","409",1.361,10.967,0.124099571441598
2,2,"WL","tt4","410",1.472,10.227,0.143932727094945
2,2,"UVB","Col-0","221",3.816,9.953,0.383401989349945
2,2,"UVB","Col-0","222",4.43,12.169,0.364039773194182
2,2,"UVB","Col-0","223",3.17,9.157,0.346183247788577
2,2,"UVB","Col-0","224",3.805,8.925,0.426330532212885
2,2,"UVB","Col-0","225",4.304,8.58,0.501631701631702
2,2,"UVB","Col-0","226",3.498,8.935,0.391494124230554
2,2,"UVB","Col-0","227",3.873,8.7,0.445172413793104
2,2,"UVB","Col-0","228",3.875,7.871,0.492313556091983
2,2,"UVB","Col-0","229",4.814,10.291,0.467787387037217
2,2,"UVB","Col-0","230",3.415,8.785,0.388730791121229
2,2,"UVB","tt4","491",2.703,8.496,0.318149717514124
2,2,"UVB","tt4","492",2.574,8.133,0.316488380671339
2,2,"UVB","tt4","493",2.987,12.17,0.24543960558751
2,2,"UVB","tt4","494",2.007,12.652,0.158631046474866
2,2,"UVB","tt4","495",2.002,5.852,0.342105263157895
2,2,"UVB","tt4","496",1.471,9.707,0.151540125682497
2,2,"UVB","tt4","497",1.158,7.306,0.158499863126198
2,2,"UVB","tt4","498",2.429,6.328,0.383849557522124
2,2,"UVB","tt4","499",2.101,6.861,0.306223582568139
2,2,"UVB","tt4","500",2.252,4.639,0.485449450312567
2,3,"PreDawn","Col-0","51",1.343,9.312,0.144222508591065
2,3,"PreDawn","Col-0","52",1.157,10.392,0.111335642802156
2,3,"PreDawn","Col-0","53",1.079,8.198,0.131617467675043
2,3,"PreDawn","Col-0","54",2.013,10.519,0.191368000760529
2,3,"PreDawn","Col-0","55",1.627,5.863,0.277502984820058
2,3,"PreDawn","Col-0","56",1.59,6.244,0.254644458680333
2,3,"PreDawn","Col-0","57",1.464,4.283,0.341816483773056
2,3,"PreDawn","Col-0","58",1.738,4.48,0.387946428571429
2,3,"PreDawn","Col-0","59",1.215,3.573,0.340050377833753
2,3,"PreDawn","Col-0","60",2.363,6.768,0.349143026004728
2,3,"PreDawn","tt4","321",1.104,12.243,0.0901739769664298
2,3,"PreDawn","tt4","322",2.033,10.994,0.184919046752774
2,3,"PreDawn","tt4","323",1.706,9.623,0.177283591395615
2,3,"PreDawn","tt4","324",1.966,6.541,0.3005656627427
2,3,"PreDawn","tt4","325",1.217,8.031,0.151537791059644
2,3,"PreDawn","tt4","326",1.321,15.319,0.0862327828187218
2,3,"PreDawn","tt4","327",1.401,3.704,0.378239740820734
2,3,"PreDawn","tt4","328",1.704,8.58,0.198601398601399
2,3,"PreDawn","tt4","329",1.496,10.519,0.142218842095256
2,3,"PreDawn","tt4","330",2.317,6.362,0.364193649795662
2,3,"WL","Col-0","141",1.672,8.864,0.188628158844765
2,3,"WL","Col-0","142",2.713,8.329,0.325729379277224
2,3,"WL","Col-0","143",2.23,9.729,0.229211635317093
2,3,"WL","Col-0","144",2.005,7.77,0.258043758043758
2,3,"WL","Col-0","145",2.587,6.482,0.399105214439988
2,3,"WL","Col-0","146",2.488,7.957,0.312680658539651
2,3,"WL","Col-0","147",2.55,7.444,0.342557764642665
2,3,"WL","Col-0","148",2.365,8.54,0.276932084309134
2,3,"WL","Col-0","149",2.315,8.53,0.271395076201641
2,3,"WL","Col-0","150",2.619,5.851,0.447615792172278
2,3,"WL","tt4","411",2.574,9.133,0.28183510347093
2,3,"WL","tt4","412",2.695,6.032,0.446783819628647
2,3,"WL","tt4","413",1.587,5.391,0.294379521424597
2,3,"WL","tt4","414",1.742,6.673,0.26105200059943
2,3,"WL","tt4","415",2.338,7.478,0.312650441294464
2,3,"WL","tt4","416",2.721,7.17,0.379497907949791
2,3,"WL","tt4","417",1.944,7.279,0.267069652424784
2,3,"WL","tt4","418",1.388,4.265,0.325439624853458
2,3,"WL","tt4","419",0.797,9.189,0.0867341386440309
2,3,"WL","tt4","420",0.983,11.254,0.0873467211658077
2,3,"UVB","Col-0","231",3.822,7.683,0.49746192893401
2,3,"UVB","Col-0","232",4.352,10.349,0.420523722098754
2,3,"UVB","Col-0","233",2.584,6.871,0.376073351768302
2,3,"UVB","Col-0","234",4.315,12.24,0.352532679738562
2,3,"UVB","Col-0","235",3.005,7.145,0.420573827851645
2,3,"UVB","Col-0","236",3.666,5.777,0.634585424961052
2,3,"UVB","Col-0","237",3.514,9.523,0.369001365116035
2,3,"UVB","Col-0","238",3.766,6.637,0.567425041434383
2,3,"UVB","Col-0","239",5.625,14.217,0.395653091369487
2,3,"UVB","Col-0","240",3.766,8.611,0.437347578678435
2,3,"UVB","tt4","501",2.291,5.198,0.440746440938823
2,3,"UVB","tt4","502",2.509,6.887,0.364309568752723
2,3,"UVB","tt4","503",2.265,7.73,0.293014230271669
2,3,"UVB","tt4","504",2.735,10.642,0.257000563803796
2,3,"UVB","tt4","505",1.311,10.75,0.121953488372093
2,3,"UVB","tt4","506",3.218,6.673,0.482241870223288
2,3,"UVB","tt4","507",1.774,5.642,0.314427507975895
2,3,"UVB","tt4","508",2.177,4.258,0.511272898074213
2,3,"UVB","tt4","509",1.254,13.943,0.0899376030983289
2,3,"UVB","tt4","510",2.284,4.434,0.51511050969779
3,1,"PreDawn","Col-0","61",1.399,6.916,0.202284557547715
3,1,"PreDawn","Col-0","62",2.391,6.378,0.374882408278457
3,1,"PreDawn","Col-0","63",1.17,8.38,0.139618138424821
3,1,"PreDawn","Col-0","64",3.242,9.354,0.34658969424845
3,1,"PreDawn","Col-0","65",2.096,9.397,0.2230499095456
3,1,"PreDawn","Col-0","66",1.875,6.635,0.282592313489073
3,1,"PreDawn","Col-0","67",1.58,6.588,0.239829993928355
3,1,"PreDawn","Col-0","68",1.471,8.641,0.170234926513135
3,1,"PreDawn","Col-0","69",1.278,7.242,0.176470588235294
3,1,"PreDawn","Col-0","70",2.077,8.589,0.241820933752474
3,1,"PreDawn","tt4","331",1.541,11.216,0.137393009985735
3,1,"PreDawn","tt4","332",1.74,7.229,0.240697191866095
3,1,"PreDawn","tt4","333",1.895,5.051,0.375173233023164
3,1,"PreDawn","tt4","334",2.244,6.363,0.352663837812353
3,1,"PreDawn","tt4","335",1.415,7.176,0.197185061315496
3,1,"PreDawn","tt4","336",1.047,6.763,0.154812952831584
3,1,"PreDawn","tt4","337",2.041,7.043,0.289791282124095
3,1,"PreDawn","tt4","338",1.887,5.142,0.366977829638273
3,1,"PreDawn","tt4","339",2.081,9.04,0.230199115044248
3,1,"PreDawn","tt4","340",0.945,12.815,0.073741708934842
3,1,"WL","Col-0","151",1.765,5.181,0.340667824744258
3,1,"WL","Col-0","152",1.723,6.599,0.261100166691923
3,1,"WL","Col-0","153",3.05,12.066,0.252776396485994
3,1,"WL","Col-0","154",1.503,9.253,0.162433805252351
3,1,"WL","Col-0","155",2.614,10.794,0.242171576801927
3,1,"WL","Col-0","156",2.232,7.01,0.318402282453638
3,1,"WL","Col-0","157",2.324,5.581,0.416412829242071
3,1,"WL","Col-0","158",2.509,11.362,0.220823798627002
3,1,"WL","Col-0","159",2.281,7.213,0.316234576459171
3,1,"WL","Col-0","160",2.215,10.66,0.207786116322702
3,1,"WL","tt4","421",0.999,10.461,0.095497562374534
3,1,"WL","tt4","422",2.273,8.32,0.273197115384615
3,1,"WL","tt4","423",1.922,6.716,0.286182251340083
3,1,"WL","tt4","424",1.5,9.603,0.156201187129022
3,1,"WL","tt4","425",1.109,9.32,0.118991416309013
3,1,"WL","tt4","426",2.523,8.307,0.30371975442398
3,1,"WL","tt4","427",2.411,9.527,0.253070221475806
3,1,"WL","tt4","428",1.745,6.78,0.257374631268437
3,1,"WL","tt4","429",2.149,4.076,0.527232580961727
3,1,"WL","tt4","430",2.844,7.792,0.364989733059548
3,1,"UVB","Col-0","241",2.701,9.32,0.28980686695279
3,1,"UVB","Col-0","242",2.741,6.886,0.398054022654662
3,1,"UVB","Col-0","243",3.43,10.614,0.323158093084605
3,1,"UVB","Col-0","244",3.528,9.95,0.354572864321608
3,1,"UVB","Col-0","245",3.233,9.674,0.334194748811247
3,1,"UVB","Col-0","246",3.702,10.532,0.351500189897455
3,1,"UVB","Col-0","247",3.101,9.715,0.319197117858981
3,1,"UVB","Col-0","248",2.317,5.53,0.418987341772152
3,1,"UVB","Col-0","249",2.441,8.348,0.292405366554863
3,1,"UVB","Col-0","250",3.744,11.023,0.339653451873356
3,1,"UVB","tt4","511",3.563,7.263,0.490568635550048
3,1,"UVB","tt4","512",2.668,4.769,0.559446424827008
3,1,"UVB","tt4","513",2.066,10.501,0.196743167317398
3,1,"UVB","tt4","514",2.297,9.618,0.238823040133084
3,1,"UVB","tt4","515",2.097,5.105,0.41077375122429
3,1,"UVB","tt4","516",4.364,12.307,0.354594945965711
3,1,"UVB","tt4","517",3.729,8.202,0.454645208485735
3,1,"UVB","tt4","518",2.033,5.776,0.351973684210526
3,1,"UVB","tt4","519",2.529,5.705,0.443295354951797
3,1,"UVB","tt4","520",2.36,5.208,0.453149001536098
3,2,"PreDawn","Col-0","71",1.704,8.709,0.195659662418188
3,2,"PreDawn","Col-0","72",1.809,8.837,0.204707479913998
3,2,"PreDawn","Col-0","73",1.254,5.978,0.209769153563065
3,2,"PreDawn","Col-0","74",2.151,4.572,0.470472440944882
3,2,"PreDawn","Col-0","75",1.175,8.44,0.139218009478673
3,2,"PreDawn","Col-0","76",0.952,8.863,0.107412839896198
3,2,"PreDawn","Col-0","77",1.787,6.79,0.263181148748159
3,2,"PreDawn","Col-0","78",1.766,10.728,0.164615958240119
3,2,"PreDawn","Col-0","79",2.069,9.19,0.225136017410229
3,2,"PreDawn","Col-0","80",0.799,7.383,0.10822159013951
3,2,"PreDawn","tt4","341",2.582,7.024,0.367596810933941
3,2,"PreDawn","tt4","342",1.206,9.311,0.129524218666094
3,2,"PreDawn","tt4","343",1.91,7.892,0.242017232640649
3,2,"PreDawn","tt4","344",0.929,9.125,0.101808219178082
3,2,"PreDawn","tt4","345",2.08,6.408,0.324594257178527
3,2,"PreDawn","tt4","346",0.878,9.466,0.0927530107754067
